Location,Date1,Date2,Date3,Date4,SightingCount1,SightingCount2,SightingCount3,SightingCount4
CA,11/26/2018,8/3/2019,12/16/2018,9/4/2019,73,51,65,33
TX,10/7/2019,12/3/2018,5/28/2019,11/28/2018,91,74,50,69
WA,2/8/2019,2/6/2019,5/18/2019,10/26/2019,93,87,15,35
HI,4/15/2019,3/21/2019,10/1/2019,1/9/2019,82,33,34,33
IA,10/22/2019,12/6/2018,2/18/2019,3/6/2019,32,48,58,64
AR,2/24/2019,2/21/2019,2/5/2019,12/24/2018,46,30,80,74
FL,5/28/2019,6/23/2019,7/24/2019,9/28/2019,54,96,87,5
MS,8/18/2019,4/19/2019,6/9/2019,8/8/2019,30,39,24,71
NY,11/4/2019,5/13/2019,10/2/2019,8/15/2019,45,12,83,33
OH,8/14/2019,10/27/2019,4/5/2019,11/25/2018,97,22,20,7
NY,11/9/2019,10/12/2019,12/13/2018,10/15/2019,25,89,49,10
CA,10/21/2019,10/19/2019,5/15/2019,9/16/2019,46,93,20,65
WA,3/7/2019,4/4/2019,3/7/2019,6/27/2019,51,90,28,42
OH,4/28/2019,4/19/2019,1/11/2019,6/20/2019,31,11,20,27
FL,3/3/2019,9/22/2019,11/5/2019,1/27/2019,24,12,91,38
MI,1/7/2019,5/10/2019,12/4/2018,8/29/2019,88,37,25,57
DC,12/20/2018,11/11/2019,2/14/2019,8/10/2019,10,45,32,75
NC,1/26/2019,8/10/2019,3/16/2019,9/21/2019,83,71,14,3
CA,2/5/2019,10/29/2019,7/26/2019,3/12/2019,69,54,41,46
FL,10/21/2019,12/12/2018,9/19/2019,12/26/2018,77,88,40,49
MA,1/19/2019,9/26/2019,4/16/2019,12/10/2018,65,14,45,15
NV,2/27/2019,4/7/2019,7/4/2019,11/13/2019,71,93,92,44
MI,3/3/2019,11/5/2019,9/11/2019,7/29/2019,3,54,23,95
MN,3/4/2019,9/27/2019,3/18/2019,11/17/2019,48,81,19,24
VA,12/22/2018,8/28/2019,10/30/2019,7/6/2019,52,72,85,15
FL,1/3/2019,9/4/2019,8/31/2019,2/27/2019,30,90,19,82
FL,3/1/2019,5/22/2019,6/12/2019,8/14/2019,55,81,37,1
CA,6/10/2019,8/30/2019,4/24/2019,11/12/2019,17,51,55,18
TN,7/29/2019,3/20/2019,7/20/2019,8/19/2019,48,12,19,87
PA,6/20/2019,1/12/2019,3/30/2019,9/4/2019,28,31,81,82
MD,5/29/2019,12/1/2018,6/19/2019,7/19/2019,28,77,15,37
OR,11/19/2019,2/6/2019,2/18/2019,9/4/2019,99,91,35,48
AL,4/28/2019,12/2/2018,3/22/2019,8/19/2019,55,65,51,39
FL,2/19/2019,11/18/2019,9/9/2019,11/15/2019,49,4,61,73
TX,2/23/2019,6/11/2019,12/16/2018,9/18/2019,48,60,1,9
MI,6/8/2019,8/23/2019,1/12/2019,12/25/2018,83,80,18,38
AZ,9/6/2019,8/26/2019,9/27/2019,12/4/2018,13,7,45,48
MA,6/18/2019,6/27/2019,1/30/2019,7/4/2019,27,86,35,52
FL,4/27/2019,1/9/2019,12/29/2018,6/28/2019,93,38,68,59
MO,1/24/2019,12/30/2018,7/16/2019,7/6/2019,97,66,57,59
CO,11/29/2018,9/2/2019,6/16/2019,3/31/2019,64,53,48,9
CA,10/17/2019,12/27/2018,11/3/2019,11/24/2018,28,98,70,8
MI,9/20/2019,1/18/2019,9/5/2019,11/4/2019,49,85,15,2
IL,7/23/2019,11/17/2019,12/19/2018,9/20/2019,25,59,91,41
NY,9/20/2019,9/24/2019,10/26/2019,8/4/2019,83,73,19,44
CA,3/19/2019,6/15/2019,1/28/2019,4/2/2019,90,77,91,68
GA,2/17/2019,7/30/2019,1/7/2019,1/10/2019,56,31,48,56
TX,12/22/2018,9/24/2019,10/29/2019,10/5/2019,1,87,11,85
IN,11/11/2019,1/29/2019,3/23/2019,6/18/2019,31,88,67,20
AL,2/3/2019,12/28/2018,5/22/2019,9/17/2019,49,95,62,75
OH,10/9/2019,12/28/2018,4/11/2019,12/15/2018,91,70,13,43
DC,2/7/2019,3/5/2019,6/14/2019,4/17/2019,60,93,47,46
NY,9/10/2019,4/4/2019,9/26/2019,8/27/2019,23,65,88,87
MD,12/19/2018,8/11/2019,12/11/2018,12/17/2018,49,8,20,42
FL,4/29/2019,9/15/2019,8/26/2019,10/26/2019,57,40,76,60
TX,7/5/2019,12/9/2018,1/4/2019,7/20/2019,2,7,24,97
TX,6/24/2019,6/10/2019,2/19/2019,10/11/2019,27,66,77,33
AL,3/21/2019,9/4/2019,10/14/2019,4/8/2019,68,82,100,29
TX,8/8/2019,12/9/2018,1/12/2019,8/19/2019,69,86,29,16
TX,9/14/2019,11/3/2019,2/12/2019,1/5/2019,31,77,78,32
TX,1/19/2019,4/8/2019,11/22/2018,6/12/2019,22,57,23,81
FL,3/10/2019,1/21/2019,7/16/2019,8/24/2019,64,83,50,74
VA,9/19/2019,9/30/2019,2/27/2019,7/16/2019,57,42,76,6
TX,8/7/2019,1/2/2019,3/15/2019,1/23/2019,4,19,46,16
WA,5/26/2019,7/24/2019,7/22/2019,5/16/2019,70,79,7,41
CA,11/29/2018,11/1/2019,10/14/2019,4/4/2019,26,17,75,27
CA,3/14/2019,8/30/2019,7/26/2019,11/13/2019,26,95,40,87
TX,7/15/2019,7/28/2019,7/16/2019,8/30/2019,27,91,25,73
WV,5/15/2019,5/16/2019,12/17/2018,9/21/2019,31,51,56,82
KS,9/7/2019,10/5/2019,9/30/2019,5/2/2019,95,70,83,87
TN,6/27/2019,11/26/2018,8/10/2019,10/30/2019,32,42,60,54
OH,10/27/2019,6/16/2019,7/26/2019,9/20/2019,65,76,69,98
KY,2/28/2019,12/13/2018,2/4/2019,6/24/2019,57,52,22,62
IN,11/7/2019,2/3/2019,8/1/2019,5/30/2019,24,21,98,13
AZ,10/10/2019,11/14/2019,10/28/2019,6/19/2019,71,31,47,91
TX,2/1/2019,3/20/2019,10/15/2019,12/30/2018,7,64,1,27
MN,11/9/2019,5/26/2019,9/29/2019,6/28/2019,37,13,51,34
NY,2/26/2019,9/7/2019,6/25/2019,10/23/2019,26,28,10,69
IN,8/4/2019,9/28/2019,12/14/2018,10/26/2019,18,6,79,50
NC,3/29/2019,10/2/2019,9/23/2019,5/8/2019,26,75,73,41
FL,11/8/2019,4/16/2019,2/23/2019,8/11/2019,18,46,58,84
PA,1/31/2019,3/18/2019,9/18/2019,12/2/2018,20,21,32,4
NJ,12/17/2018,6/11/2019,5/21/2019,11/11/2019,66,34,36,87
WI,3/20/2019,6/4/2019,5/26/2019,12/17/2018,31,85,72,3
NE,12/12/2018,5/28/2019,6/22/2019,6/11/2019,92,91,20,82
CO,10/16/2019,6/18/2019,4/16/2019,2/16/2019,21,99,52,42
OH,9/16/2019,3/9/2019,4/6/2019,5/15/2019,66,65,15,84
VA,10/6/2019,5/2/2019,3/26/2019,10/29/2019,96,96,40,82
LA,9/1/2019,8/4/2019,12/28/2018,6/11/2019,28,62,57,1
CA,3/27/2019,10/25/2019,7/24/2019,2/6/2019,40,37,93,67
MA,5/31/2019,4/27/2019,12/28/2018,10/19/2019,28,7,16,29
NV,3/19/2019,5/2/2019,1/5/2019,7/1/2019,71,48,32,90
TX,11/27/2018,1/17/2019,1/3/2019,7/7/2019,90,1,10,17
PA,5/4/2019,7/6/2019,10/1/2019,7/4/2019,23,75,87,37
CA,11/12/2019,5/30/2019,12/24/2018,12/3/2018,15,22,42,62
CA,8/16/2019,9/8/2019,2/14/2019,9/22/2019,3,22,68,51
MN,1/13/2019,3/31/2019,9/6/2019,10/6/2019,81,17,7,41
DC,1/9/2019,3/14/2019,4/17/2019,5/18/2019,28,73,6,15
NY,2/9/2019,3/5/2019,11/14/2019,8/28/2019,63,25,4,74
FL,11/19/2019,11/30/2018,6/21/2019,8/9/2019,98,93,14,37
